path,category,language,tracked,bytes,physical_lines,blank_lines,nonblank_lines
.gitignore,Other project files,Other text,yes,152,14,0,14
AGENTS.md,Other project files,Markdown,yes,2007,43,9,34
README.md,Other project files,Markdown,yes,1659,42,8,34
artifacts/architecture/ARCHITECTURE-001-start.json,Artifacts and evidence,JSON,yes,2646,54,0,54
artifacts/architecture/canonical_run.json,Artifacts and evidence,JSON,yes,53297,1466,0,1466
artifacts/architecture/module_registry.json,Artifacts and evidence,JSON,yes,8383,215,0,215
artifacts/architecture/public_evaluator_contract.json,Artifacts and evidence,JSON,yes,22144,408,0,408
artifacts/architecture/scenario_registry.json,Artifacts and evidence,JSON,yes,7532,254,0,254
artifacts/architecture/state_machine_registry.json,Artifacts and evidence,JSON,yes,9034,298,0,298
artifacts/baselines/BASELINE-001-start.json,Artifacts and evidence,JSON,yes,2217,34,0,34
artifacts/baselines/canonical_run.json,Artifacts and evidence,JSON,yes,3983204,95837,0,95837
artifacts/baselines/capability_classification_reconciliation.json,Artifacts and evidence,JSON,yes,1469,17,0,17
artifacts/baselines/frozen_benchmark.json,Artifacts and evidence,JSON,yes,636497,12636,0,12636
artifacts/baselines/policy_registry.json,Artifacts and evidence,JSON,yes,4158,123,0,123
artifacts/baselines/public_evaluator_contract.json,Artifacts and evidence,JSON,yes,18651,203,0,203
artifacts/bootstrap/archive_verification.json,Artifacts and evidence,JSON,yes,427,11,0,11
artifacts/bootstrap/capability_manifest.json,Artifacts and evidence,JSON,yes,1453,46,0,46
artifacts/bootstrap/contradiction_register.json,Artifacts and evidence,JSON,yes,1872,35,0,35
artifacts/bootstrap/expertise_coverage.json,Artifacts and evidence,JSON,yes,2035,21,0,21
artifacts/bootstrap/input_classification.json,Artifacts and evidence,JSON,yes,2745,59,0,59
artifacts/bootstrap/repository_inventory.json,Artifacts and evidence,JSON,yes,1332,37,0,37
artifacts/calibration/CALIBRATION-001-start.json,Artifacts and evidence,JSON,yes,2285,33,0,33
artifacts/calibration/canonical_run.json,Artifacts and evidence,JSON,yes,206586,5594,0,5594
artifacts/calibration/frozen_input.json,Artifacts and evidence,JSON,yes,4294,143,0,143
artifacts/calibration/public_evaluator_contract.json,Artifacts and evidence,JSON,yes,19523,169,0,169
artifacts/context/current_task_packet.json,Artifacts and evidence,JSON,yes,3737,91,0,91
artifacts/context/current_task_packet.md,Artifacts and evidence,Markdown,yes,306814,7018,193,6825
artifacts/contracts/CONTRACT-001-start.json,Artifacts and evidence,JSON,yes,2354,61,0,61
artifacts/contracts/contract_spine.json,Artifacts and evidence,JSON,yes,2592,67,0,67
artifacts/contracts/public_evaluator_contract.json,Artifacts and evidence,JSON,yes,3320,60,0,60
artifacts/convergence/convergence_ledger.json,Artifacts and evidence,JSON,yes,1917,43,0,43
artifacts/economics/ECONOMICS-001-start.json,Artifacts and evidence,JSON,yes,2177,54,0,54
artifacts/economics/public_evaluator_contract.json,Artifacts and evidence,JSON,yes,4302,65,0,65
artifacts/evaluations/architecture.json,Artifacts and evidence,JSON,yes,17969,495,0,495
artifacts/evaluations/architecture_product.json,Artifacts and evidence,JSON,yes,2964,52,0,52
artifacts/evaluations/autonomous_frontier_meta.json,Artifacts and evidence,JSON,yes,1526,41,0,41
artifacts/evaluations/autonomous_frontier_report.json,Artifacts and evidence,JSON,yes,68933,1454,0,1454
artifacts/evaluations/baseline_framework.json,Artifacts and evidence,JSON,yes,24814,742,0,742
artifacts/evaluations/baseline_model_synthetic.json,Artifacts and evidence,JSON,yes,24830,742,0,742
artifacts/evaluations/calibration_framework.json,Artifacts and evidence,JSON,yes,24706,702,0,702
artifacts/evaluations/calibration_synthetic.json,Artifacts and evidence,JSON,yes,24722,702,0,702
artifacts/evaluations/contract_spine.json,Artifacts and evidence,JSON,yes,3006,45,0,45
artifacts/evaluations/data_history_synthetic.json,Artifacts and evidence,JSON,yes,1768,37,0,37
artifacts/evaluations/economics_contracts.json,Artifacts and evidence,JSON,yes,2768,97,0,97
artifacts/evaluations/economics_synthetic.json,Artifacts and evidence,JSON,yes,1720,37,0,37
artifacts/evaluations/external_readiness.json,Artifacts and evidence,JSON,yes,1793,37,0,37
artifacts/evaluations/full_adversarial_campaign.json,Artifacts and evidence,JSON,yes,1952,38,0,38
artifacts/evaluations/identity_contracts.json,Artifacts and evidence,JSON,yes,2370,68,0,68
artifacts/evaluations/identity_synthetic.json,Artifacts and evidence,JSON,yes,3109,50,0,50
artifacts/evaluations/invariant_trace.json,Artifacts and evidence,JSON,yes,6177,164,0,164
artifacts/evaluations/known_bad_direct_result.json,Artifacts and evidence,JSON,yes,155,7,0,7
artifacts/evaluations/known_bad_public_result.json,Artifacts and evidence,JSON,yes,1196,40,0,40
artifacts/evaluations/math_contracts.json,Artifacts and evidence,JSON,yes,6357,176,0,176
artifacts/evaluations/observability_lineage.json,Artifacts and evidence,JSON,yes,1754,37,0,37
artifacts/evaluations/outcomes_synthetic.json,Artifacts and evidence,JSON,yes,13517,345,0,345
artifacts/evaluations/public_evaluator_manifest.json,Artifacts and evidence,JSON,yes,1545,20,0,20
artifacts/evaluations/replay_recovery.json,Artifacts and evidence,JSON,yes,1790,37,0,37
artifacts/evaluations/routing_synthetic.json,Artifacts and evidence,JSON,yes,1753,37,0,37
artifacts/evaluations/security_privacy.json,Artifacts and evidence,JSON,yes,1735,37,0,37
artifacts/evaluations/vertical_slice.json,Artifacts and evidence,JSON,yes,3835,96,0,96
artifacts/external-readiness/readiness_manifest.json,Artifacts and evidence,JSON,yes,7105,144,0,144
artifacts/identity/IDENTITY-001-start.json,Artifacts and evidence,JSON,yes,2548,53,0,53
artifacts/identity/public_evaluator_contract.json,Artifacts and evidence,JSON,yes,17255,366,0,366
artifacts/math/MATH-001-start.json,Artifacts and evidence,JSON,yes,3042,38,0,38
artifacts/math/estimand_registry.json,Artifacts and evidence,JSON,yes,19934,597,0,597
artifacts/math/formal_decisions.json,Artifacts and evidence,JSON,yes,4617,30,0,30
artifacts/math/human_authority_input_template.json,Artifacts and evidence,JSON,yes,1772,54,0,54
artifacts/math/public_evaluator_contract.json,Artifacts and evidence,JSON,yes,3801,45,0,45
artifacts/models/model_registry.json,Artifacts and evidence,JSON,yes,4559,128,0,128
artifacts/outcomes/OUTCOMES-001-start.json,Artifacts and evidence,JSON,yes,2973,44,0,44
artifacts/outcomes/canonical_run.json,Artifacts and evidence,JSON,yes,149270,3389,0,3389
artifacts/outcomes/capability_classification_reconciliation.json,Artifacts and evidence,JSON,yes,2760,46,0,46
artifacts/outcomes/itt_inclusion_cases.json,Artifacts and evidence,JSON,yes,943,29,0,29
artifacts/outcomes/public_evaluator_contract.json,Artifacts and evidence,JSON,yes,15125,150,0,150
artifacts/outcomes/scenario_matrix.json,Artifacts and evidence,JSON,yes,2365,34,0,34
artifacts/outcomes/synthetic_input_ledger.json,Artifacts and evidence,JSON,yes,22969,497,0,497
artifacts/outcomes/synthetic_window_policy.json,Artifacts and evidence,JSON,yes,1724,30,0,30
artifacts/research/RESEARCH-001-adversarial-sweep.json,Artifacts and evidence,JSON,yes,1491,12,0,12
artifacts/research/RESEARCH-001-start.json,Artifacts and evidence,JSON,yes,1605,25,0,25
artifacts/research/bundle_manifest.json,Artifacts and evidence,JSON,yes,6817,167,0,167
artifacts/research/canonical_field_map.json,Artifacts and evidence,JSON,yes,44690,1162,0,1162
artifacts/research/claim_evidence_graph.json,Artifacts and evidence,JSON,yes,16279,464,0,464
artifacts/research/counterevidence_register.json,Artifacts and evidence,JSON,yes,3879,111,0,111
artifacts/research/raw/independent/capture_manifest.json,Artifacts and evidence,JSON,yes,5994,107,0,107
artifacts/research/raw/independent/on_ogl_terms.html,Artifacts and evidence,HTML,yes,95339,1034,243,791
artifacts/research/raw/independent/on_select_package.json,Artifacts and evidence,JSON,yes,11530,1,0,1
artifacts/research/raw/independent/on_select_schema.json,Artifacts and evidence,JSON,yes,3410,1,0,1
artifacts/research/raw/independent/tor_coa_2001_schema.json,Artifacts and evidence,JSON,yes,1810,1,0,1
artifacts/research/raw/independent/tor_coa_2016_schema.json,Artifacts and evidence,JSON,yes,1810,1,0,1
artifacts/research/raw/independent/tor_coa_active_schema.json,Artifacts and evidence,JSON,yes,2476,1,0,1
artifacts/research/raw/independent/tor_coa_closed_schema.json,Artifacts and evidence,JSON,yes,3160,1,0,1
artifacts/research/raw/independent/tor_coa_package.json,Artifacts and evidence,JSON,yes,75676,1,0,1
artifacts/research/raw/independent/tor_ogl_terms.html,Artifacts and evidence,HTML,yes,34435,369,67,302
artifacts/research/raw/manifest.json,Artifacts and evidence,JSON,yes,6640,114,0,114
artifacts/research/raw/on_ogl_terms.html,Artifacts and evidence,HTML,yes,95339,1034,243,791
artifacts/research/raw/on_select_package.json,Artifacts and evidence,JSON,yes,11006,1,0,1
artifacts/research/raw/on_select_schema.json,Artifacts and evidence,JSON,yes,3185,1,0,1
artifacts/research/raw/row_witness/capture_manifest.json,Artifacts and evidence,JSON,yes,13122,260,0,260
artifacts/research/raw/row_witness/on_distinct_licence_limit0.json,Artifacts and evidence,JSON,yes,883,1,0,1
artifacts/research/raw/row_witness/on_licence_4716137_count.json,Artifacts and evidence,JSON,yes,3540,1,0,1
artifacts/research/raw/row_witness/on_licence_4716137_distinct_address.json,Artifacts and evidence,JSON,yes,954,1,0,1
artifacts/research/raw/row_witness/on_max_address.json,Artifacts and evidence,JSON,yes,1724,63,8,55
artifacts/research/raw/row_witness/on_max_address_post.json,Artifacts and evidence,JSON,yes,1724,63,8,55
artifacts/research/raw/row_witness/on_summary.json,Artifacts and evidence,JSON,yes,1724,63,8,55
