source_path,category,sha256,size,disposition,destination,reason
/Users/alimehdi/Desktop/CRE-Checkpoint-Verification-20260803-183510/repo/uv.lock,codex,fedc06af2f85d133987dd2ceed35a25e5ce332027fce3057238a2bd67362eb24,27408,private_only,,unreviewed_extension:.lock
/Users/alimehdi/Desktop/CRE-Checkpoint-Verification-20260803-183510/repo/bootstrap/project_os_v2.2/CRE_Codex_Project_OS_v2.2/launch_kernel/CHECKSUMS.sha256,codex,c010115e31907763768ff57ee9e4d02f8458dba0cf0fdc15483434ed50fb566d,7170,private_only,,unreviewed_extension:.sha256
/Users/alimehdi/Desktop/CRE-Checkpoint-Verification-20260803-183510/repo/bootstrap/project_os_v2.2/CRE_Codex_Project_OS_v2.2/reference_vault/CHECKSUMS.sha256,codex,562cee5da06ee68300ef972c40e50797184a9d38f68444945d3e073e45b17467,4977,private_only,,unreviewed_extension:.sha256
/Users/alimehdi/Desktop/CRE-Kimi-Security-20260803-195956/uv.lock,kimi,fedc06af2f85d133987dd2ceed35a25e5ce332027fce3057238a2bd67362eb24,27408,private_only,,unreviewed_extension:.lock
/Users/alimehdi/Desktop/CRE-Kimi-Security-20260803-195956/bootstrap/project_os_v2.2/CRE_Codex_Project_OS_v2.2/launch_kernel/CHECKSUMS.sha256,kimi,c010115e31907763768ff57ee9e4d02f8458dba0cf0fdc15483434ed50fb566d,7170,private_only,,unreviewed_extension:.sha256
/Users/alimehdi/Desktop/CRE-Kimi-Security-20260803-195956/bootstrap/project_os_v2.2/CRE_Codex_Project_OS_v2.2/reference_vault/CHECKSUMS.sha256,kimi,562cee5da06ee68300ef972c40e50797184a9d38f68444945d3e073e45b17467,4977,private_only,,unreviewed_extension:.sha256
/Users/alimehdi/Desktop/CRE-Relay-Security-Standalone/uv.lock,codex,fedc06af2f85d133987dd2ceed35a25e5ce332027fce3057238a2bd67362eb24,27408,private_only,,unreviewed_extension:.lock
/Users/alimehdi/Desktop/CRE-Relay-Security-Standalone/bootstrap/project_os_v2.2/CRE_Codex_Project_OS_v2.2/launch_kernel/CHECKSUMS.sha256,codex,c010115e31907763768ff57ee9e4d02f8458dba0cf0fdc15483434ed50fb566d,7170,private_only,,unreviewed_extension:.sha256
/Users/alimehdi/Desktop/CRE-Relay-Security-Standalone/bootstrap/project_os_v2.2/CRE_Codex_Project_OS_v2.2/reference_vault/CHECKSUMS.sha256,codex,562cee5da06ee68300ef972c40e50797184a9d38f68444945d3e073e45b17467,4977,private_only,,unreviewed_extension:.sha256
"/Users/alimehdi/Desktop/CRE-Salvage-Audit-20260803-134736/repo/= Path(os.environ[""RECOVERY""])",codex,83192f86dceecb48182a1c40f182ea65e429672b809d94dfb31610de514540b8,9839,private_only,,"unreviewed_extension:.environ[""recovery""])"
/Users/alimehdi/Desktop/CRE-Salvage-Audit-20260803-134736/repo/uv.lock,codex,fedc06af2f85d133987dd2ceed35a25e5ce332027fce3057238a2bd67362eb24,27408,private_only,,unreviewed_extension:.lock
"/Users/alimehdi/Desktop/CRE-Salvage-Audit-20260803-134736/repo/""$RECOVERY"" AUDIT_REPO=""$AUDIT_REPO"" python3 <<'PY'",codex,f641b68864712120389a8867a173ab0e6f012d78e7c71f25f8b70d884dae4599,219,private_only,,unreviewed_extension:(none)
"/Users/alimehdi/Desktop/CRE-Salvage-Audit-20260803-134736/repo/th(os.environ[""AUDIT_REPO""])",codex,483889bb64ed79f1bff0985a059796f44f5f0a6907b7eb2b06faf452356566ff,458,private_only,,"unreviewed_extension:.environ[""audit_repo""])"
/Users/alimehdi/Desktop/CRE-Salvage-Audit-20260803-134736/repo/bootstrap/project_os_v2.2/CRE_Codex_Project_OS_v2.2/launch_kernel/CHECKSUMS.sha256,codex,c010115e31907763768ff57ee9e4d02f8458dba0cf0fdc15483434ed50fb566d,7170,private_only,,unreviewed_extension:.sha256
/Users/alimehdi/Desktop/CRE-Salvage-Audit-20260803-134736/repo/bootstrap/project_os_v2.2/CRE_Codex_Project_OS_v2.2/reference_vault/CHECKSUMS.sha256,codex,562cee5da06ee68300ef972c40e50797184a9d38f68444945d3e073e45b17467,4977,private_only,,unreviewed_extension:.sha256
"/Users/alimehdi/Desktop/CRE-Salvage-Audit-20260803-134736/repo/UDIT_REPO/_RECOVERY_MANIFEST.json""",codex,74781508cc852488aea21a7073078358406bb8b2522f77be82b7304dada237d5,6606,private_only,,"unreviewed_extension:.json"""
/Users/alimehdi/Desktop/CRE-Salvage-Audit-Fixed-20260803-134925/repo/uv.lock,codex,fedc06af2f85d133987dd2ceed35a25e5ce332027fce3057238a2bd67362eb24,27408,private_only,,unreviewed_extension:.lock
/Users/alimehdi/Desktop/CRE-Salvage-Audit-Fixed-20260803-134925/repo/bootstrap/project_os_v2.2/CRE_Codex_Project_OS_v2.2/launch_kernel/CHECKSUMS.sha256,codex,c010115e31907763768ff57ee9e4d02f8458dba0cf0fdc15483434ed50fb566d,7170,private_only,,unreviewed_extension:.sha256
/Users/alimehdi/Desktop/CRE-Salvage-Audit-Fixed-20260803-134925/repo/bootstrap/project_os_v2.2/CRE_Codex_Project_OS_v2.2/reference_vault/CHECKSUMS.sha256,codex,562cee5da06ee68300ef972c40e50797184a9d38f68444945d3e073e45b17467,4977,private_only,,unreviewed_extension:.sha256
/Users/alimehdi/Documents/cre/uv.lock,codex,fedc06af2f85d133987dd2ceed35a25e5ce332027fce3057238a2bd67362eb24,27408,private_only,,unreviewed_extension:.lock
/Users/alimehdi/Documents/cre/bootstrap/project_os_v2.2/CRE_Codex_Project_OS_v2.2/launch_kernel/CHECKSUMS.sha256,codex,c010115e31907763768ff57ee9e4d02f8458dba0cf0fdc15483434ed50fb566d,7170,private_only,,unreviewed_extension:.sha256
